conversation_id,scammer_message,user_response,response_type,scam_tactic,risk_score,risk_level,effectiveness_score,timestamp,urgency_keywords,fake_fee_mentions,emotional_manipulation,isolation_attempts,authority_claims,threat_indicators,total_scam_indicators,contains_verification,contains_refusal,contains_expertise,response_strength,is_scam,scam_category,user_success
SCAM_0001,This is a mandatory security procedure,I'll check with the bank first,expert_mention,emotional_manipulation,4,medium,5,2025-06-14 05:08:45,0,0,0,0,2,0,2,1,0,0,5,1,emotional_manipulation,1
SCAM_0002,Account activation charge,I work in cybersecurity and I know these tactics,expert_mention,threat,9,critical,4,2025-09-21 17:00:33,0,1,0,0,0,0,1,0,1,1,4,1,threat,1
SCAM_0003,I will lose my job if you don't pay,I'll wait for technical support response,questioning,isolation,10,critical,3,2024-12-11 09:50:34,0,1,0,0,0,1,2,0,0,0,3,1,isolation,0
SCAM_0004,Document processing fee,I work in cybersecurity and I know these tactics,expert_mention,fake_fee,10,critical,4,2025-11-18 05:38:45,0,1,0,0,0,0,1,0,1,1,4,1,fake_fee,1
SCAM_0005,There are limited offers today only,"I'm not in a hurry, I can wait",delaying,threat,9,critical,3,2025-03-27 04:12:07,0,0,0,0,0,0,0,0,1,0,3,1,threat,0
SCAM_0006,Don't talk to the bank about this,There is no such thing as IMF code,refusing,isolation,9,critical,4,2025-03-27 23:05:36,0,0,0,0,0,0,0,0,1,0,4,1,isolation,1
SCAM_0007,Account activation charge,I'll check the company's official website,refusing,threat,9,critical,5,2025-03-19 03:23:02,0,1,0,0,0,0,1,1,0,0,5,1,threat,1
SCAM_0008,Security deposit needed for verification,I prefer to wait for official communication,questioning,isolation,9,critical,4,2025-07-26 06:36:18,0,0,0,0,1,0,1,0,0,0,4,1,isolation,1
SCAM_0009,You need to pay IMF code to withdraw your salary,I'll report to the authorities,verification,urgency,6,high,4,2025-07-28 22:04:26,0,1,0,0,0,0,1,0,0,0,4,1,urgency,1
SCAM_0010,There are limited offers today only,This is obvious scam,delaying,fake_fee,8,high,3,2025-09-20 12:51:48,0,0,0,0,0,0,0,0,0,0,3,1,fake_fee,0
SCAM_0011,Follow the instructions exactly,I'll check the company's official website,expert_mention,threat,9,critical,5,2025-05-08 10:00:06,0,0,0,0,0,0,0,1,0,0,5,1,threat,1
