text,label
"Hey Dear customer, your SBI bank account has been suspended today. KYC verification has expired. Please click this link to update your KYC documents and restore services: http://login-punjabnationalbank.com Let me know.",Bank KYC Scam
"Scan this scan card QR code to claim your cashback voucher of 25,000 rupees. Once scanned, enter your UPI password and the money will be sent to your account. Please reply soon.",QR Code Scam
"Hello Hi, I have sent you a payment request of 1,50,000 rupees on Google Pay. You just need to scan this QR code and approve it to credit the cash directly to your bank account. Do not ignore this message.",QR Code Scam
"Good morning Get instant personal loans up to 5,00,000 rupees with zero credit score check and low interest rates of 2%. To disburse the money, you must pay a processing fee of 4,999 rupees immediately. Let me know.",Loan Scam
Earn passive income from stock investment. We handle the trading for you. Guaranteed returns of 20% weekly. Deposit funds directly to our coordinator to unlock your VIP membership. Act fast to resolve this.,Investment Scam
"Hi, I have sent you a payment request of 5,00,000 rupees on Google Pay. You just need to scan this QR code and approve it to credit the cash directly to your bank account. Regards.",QR Code Scam
Hey I am officer Sanjay Kumar from Crime Branch. An illegal passport containing drugs was caught in Mumbai customs under your Aadhaar details. The Supreme Court has issued a warrant. You are under digital arrest. Keep your phone video on 24/7. Transfer your funds to RBI security account for verification. Regards.,Digital Arrest Scam
Good morning I am so happy I met you on Tinder. I want to buy a house and settle down with you. I am sending a package with diamonds. The customs officer Tina wants tax clearance fee. Please help me pay it. Please reply soon.,Romance Scam
Respected sir/madam I have completed the code review for the pull request. Let's merge it.,Safe
"Good morning Sir, I am paying you advance money. Scanning this QR code will deposit the funds. Do not worry, just scan it, enter your PIN and click receive.",QR Code Scam
"Hey Sir, I am paying you advance money. Scanning this QR code will deposit the funds. Do not worry, just scan it, enter your PIN and click receive. Have a good day.",QR Code Scam
"Dear customer Exclusive crypto arbitrage signals! Sign up on our private exchange and buy Doge at low price, sell at high price. Deposit at least 500 Doge to activate the bot. Thanks.",Crypto Scam
"Respected sir/madam Alert: Your transaction of 5,00,000 rupees on Amazon is pending. To cancel this unauthorized transaction, please share the OTP code sent to your phone immediately. Let me know.",OTP Scam
Hey Your package from Amazon is out for delivery and will reach you by 3:00 AM.,Safe
"Hey This is Sanjay Kumar calling from the CBI Mumbai headquarters. Your Aadhaar card has been linked to a money laundering syndicate involving 1,50,000 rupees. You are under digital arrest. You must join a WhatsApp video call immediately. Do not talk to anyone or leave your house, or you will face immediate arrest. Regards.",Digital Arrest Scam
"Welcome to the VIP trading group 'D18 Exploring Profit Methods' hosted by Officer Mishra. We provide daily stock trading signals and IPO allocations with 300% guaranteed returns. See screenshots of profits of 15,00,000 rupees made by our members. To start trading, deposit money into our institutional account.",Investment Scam
"Hey, I will be a bit late for dinner tonight. Please don't wait for me. Have a good day.",Safe
"Hi there Dear customer, your ICICI bank account has been suspended today. KYC verification has expired. Please click this link to update your KYC documents and restore services: http://secure-punjabnationalbank.com Thanks.",Bank KYC Scam
"Hey, I will be a bit late for dinner tonight. Please don't wait for me. Do not ignore this message.",Safe
"Respected sir/madam Hi, I have sent you a payment request of 10,000 rupees on Google Pay. You just need to scan this QR code and approve it to credit the cash directly to your bank account. Act fast to resolve this.",QR Code Scam
Hello Special IPO allocation opportunity! Get guaranteed shares of high demand companies. Limited seats left. Transfer capital to our trading account. Thousands of members are already making money. Have a good day.,Investment Scam
"Good morning Earn 1,50,000 rupees daily by doing part-time work from home. Task is simple: like YouTube videos, rating hotels on Maps, or subscribing to channels. No signup fees. Join our Telegram group now. Have a good day.",Job Scam
"Hello Earn 10% daily ROI on our decentralized crypto staking platform. Create an account, deposit Bitcoin to the wallet address, and watch your balance grow. Withdraw anytime.",Crypto Scam
"Make massive wealth daily with stock market training. We guarantee 50% profits every day on short term options. Join our Telegram vip channel. Transfer 50,000 rupees today and trade under supervision of Amit Shah. Regards.",Investment Scam
"Hello Hi, I am HR manager at Google Maps rating. We have a vacancy for part-time assistant. Earn 1,50,000 per day. Get paid 100 rupees per video like. Share your UPI and start tasks. Let me know.",Job Scam
"Hi there Congratulations! Your loan application for 25,000 rupees is approved. To receive the funds in your account, please pay a refundable security deposit of 9,999 rupees to the bank officer. Thanks.",Loan Scam
"Hi Hi, your electricity connection will be cut tonight at 9:30 PM due to unpaid bills. I can update it in the database. Please tell me the OTP sent to your phone number now. Have a good day.",OTP Scam
"Dear customer Dear customer, your credit card point redemption request for 10,000 rupees is successful. To credit the cash to your bank, tell me the verification OTP you just received. Thanks.",OTP Scam
